address,price,est_monthly_payment,bedrooms,bathrooms,square_footage,property_type,year_built,lot_size,price_per_sqft,parking,state,city,url
,360815,,4,,2219,Single-family,2025,4356,163,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/7974-Deerberry-Ct-39532/home/195493789
"132 Dukate St, Biloxi, MS 39530",350000,,2,,1378,Single-family,1900,5662,254,1 space,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/132-Dukate-St-39530/home/116435551
"615 N Haven Dr, Biloxi, MS 39532",325000,,3,,1858,Single-family,1980,13939,175,2 car,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/615-N-Haven-Dr-39532/home/116017804
"167 Travia Ave, Biloxi, MS 39531",118000,,2,,925,Single-family,1950,6098,128,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/167-Travia-Ave-39531/home/116654396
"14801 Rue Mornay Dr, Biloxi, MS 39532",332000,,4,,2830,Single-family,1995,13068,117,2 car,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/14801-Rue-Mornay-39532/home/119173500
"15173 Lorraine Rd, Biloxi, MS 39532",574000,,3,,2600,Single-family,1959,352836,221,3 spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/15173-Lorraine-Rd-39532/home/166375372
"13284 Hilliard St, D'Iberville, MS 39540",334900,"2,274",4,,2327,Single-family,2016,7405,144,2 car,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Diberville/13284-Hilliard-St-39540/home/117179673
"245 Mcdonnell Ave #105, Biloxi, MS 39531",89900,,1,,608,Condo,1970,205603,148,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/245-McDonnell-Ave-39531/unit-105/home/116181044
"4257 Melvin Rd, D'Iberville, MS 39540",450000,"3,077",4,,2596,Single-family,2001,130680,173,2 car,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Diberville/4257-Melvin-Rd-39540/home/166327287
"2223 Popps Ferry Rd, Biloxi, MS 39532",225000,,3,,1558,Single-family,1968,10890,144,2 spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2223-Popps-Ferry-Rd-39532/home/116180001
"2406 Bonne Terre Blvd, Biloxi, MS 39531",349000,,3,,2095,Single-family,2006,14374,167,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2406-Bonne-Terre-Blvd-39531/home/116167362
"15171 Haversham Pl, D'Iberville, MS 39540",295000,,4,,2547,Single-family,2006,9583,116,2 car,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Diberville/15171-Haversham-Pl-39540/home/115991239
"1664 Beach Blvd Unit K167, Biloxi, MS 39531",139900,,1,,618,Condo,1967,,226,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/1664-Beach-Blvd-39531/unit-K167/home/196561281
"1456 Beach Blvd, Biloxi, MS 39530",1350000,,3,,3193,Single-family,2008,14374,423,2 car,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/1456-Beach-Blvd-39530/home/116301348
"5367 Overland Dr, Biloxi, MS 39532",311900,,4,,2449,Single-family,2018,8712,127,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/5367-Overland-Dr-39532/home/117175103
"2033 Hill Dr, Biloxi, MS 39532",199900,,3,,1485,Single-family,1984,13503,135,2 spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2033-South-Hill-Dr-39532/home/115981415
"245 Mcdonnell Ave #221, Biloxi, MS 39531",79993,,2,,775,Condo,1970,205603,103,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/245-McDonnell-Ave-39531/unit-221/home/116270991
"346 Tanglewood Dr, Biloxi, MS 39531",210000,,3,,1245,Single-family,1969,12632,169,1 space,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/346-Tanglewood-Dr-39531/home/116183781
"6405 Seawinds Blvd, Biloxi, MS 39532",655000,,3,,3342,Single-family,2006,21780,196,2 car,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/6405-Seawinds-Blvd-39532/home/119292909
"333 Belvedere Dr, Biloxi, MS 39531",155000,,3,,1040,Single-family,1952,8712,149,1  spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/333-Belvedere-Dr-39531/home/115964379
"15409 Sequoia Ave, Biloxi, MS 39532",899500,"5,908",5,,4782,Single-family,1965,230868,188,2  spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/15409-Sequoia-Ave-39532/home/119135332
"6205 Diamond Ln, Biloxi, MS 39532",352650,,4,,2320,Single-family,2025,10890,152,2 car,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/6205-Diamond-Ln-39532/home/189648821
"6288 Emerald Lake Dr, Biloxi, MS 39532",329300,,3,,1540,Single-family,2025,14810,214,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/6288-Emerald-Lake-Dr-39532/home/189648856
,374490,,5,,2513,Single-family,2025,4356,149,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/13625-Mayberry-Ct-39532/home/196322347
"2024 Greater Ave, Biloxi, MS 39531",140000,,2,,893,Single-family,1950,7405,157,2 spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2024-Greater-Ave-39531/home/116451602
"15917 Van Eaton Cir, Biloxi, MS 39532",106000,,2,,1078,Single-family,1950,15681,98,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/15917-Van-Eaton-Cir-39532/home/119179143
"2668 Beach Blvd., Unit 802 Blvd, Biloxi, MS 39531",389900,"3,568",2,,—,Condo,2007,,,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2668-Beach-Blvd-39531/home/115942510
"1467 Wilkes Ave, Biloxi, MS 39530",275000,,2,,1245,Single-family,1940,4791,221,1 car,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/1467-Wilkes-Ave-39530/home/116585112
"121 Grande View Dr, Biloxi, MS 39531",525000,,3,,2179,Single-family,2023,5227,241,2 car,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/121-Grande-View-Dr-39531/home/189648769
"153 Saint Peter St, Biloxi, MS 39530",179000,"1,209",2,,1132,Single-family,1945,11325,158,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/153-Saint-Peter-St-39530/home/116637708
"2668 Beach Blvd #405, Biloxi, MS 39531",450000,,2,,1392,Condo,2007,111949,323,2 spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2668-Beach-Blvd-39531/unit-405/home/116407180
"487 Oaklawn Pl, Biloxi, MS 39530",349900,,3,,2792,Single-family,1952,10890,125,4 spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/487-Oaklawn-Pl-39530/home/116173481
"2026 Bent Oaks Blvd, Biloxi, MS 39531",575000,,5,,3100,Single-family,1996,16117,185,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2026-Bent-Oaks-Blvd-39531/home/115987114
"277 Nichols Dr, Biloxi, MS 39530",64900,,2,,800,Single-family,1940,11325,81,6 spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/277-Nichols-Dr-39530/home/116535764
"17364 Palm Ridge Dr, D'Iberville, MS 39540",235000,,3,,1380,Single-family,2010,5662,170,1  spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Diberville/17364-Palm-Ridge-Dr-39540/home/144304017
"245 Mc Donnell Ave #166, Biloxi, MS 39531",135000,,3,,1002,Condo,1970,,135,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/245-McDonnell-Ave-39531/unit-166/home/116093801
"2502 Randall Dr, Biloxi, MS 39531",275000,,3,,1905,Single-family,1959,13068,144,1 space,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2502-Randall-Dr-39531/home/116653715
"723 Beach Blvd #723, Long Beach, MS 39560",324900,,2,,1352,Condo,2007,69260,240,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Long-Beach/723-W-Beach-Blvd-39560/unit-723/home/116065601
"194 Hoxie St, Biloxi, MS 39530",140000,,2,,1090,Single-family,1945,6098,128,3 spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/194-Hoxie-St-39530/home/116646974
"6236 Emerald Lake Dr, Biloxi, MS 39532",385000,,4,,2557,Single-family,2018,14374,151,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/6236-Emerald-Lake-Dr-39532/home/171240034
"1099 Campbell Dr, Biloxi, MS 39532",729000,,3,,2450,Single-family,1984,77101,298,2  spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/1099-Campbell-Dr-39532/home/116255818
"236 Rue Petit Bois, Biloxi, MS 39531",319000,,4,,2800,Single-family,1984,15245,114,4 spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/236-Rue-Petit-Bois-39531/home/116285784
"11316 Shorecrest Rd, Biloxi, MS 39532",249990,,3,,1380,Single-family,2025,10890,181,2 car,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/11316-Shorecrest-Rd-39532/home/189958430
"13005 Lamey Bridge Rd Rd, D'Iberville, MS 39540",299000,,3,,912,Single-family,1981,48351,328,10 spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Diberville/13005-Lamey-Bridge-Rd-39540/home/144304262
"765 Destiny Plantation Boulevard Blvd, Biloxi, MS 39532",1699999,,3,,4159,Single-family,2012,37026,409,3 car,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/765-Destiny-Plantation-Blvd-39532/home/144304132
"133 Myrtle St, Biloxi, MS 39530",749999,,5,,3326,Single-family,2007,7840,225,2 car,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/133-Myrtle-St-39530/home/116096135
,357990,,4,,2219,Single-family,2025,4356,161,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/13623-Mayberry-Ct-39532/home/196322340
"236 Dewey Cir, Biloxi, MS 39531",169000,,2,,930,Single-family,1940,7405,182,1 car,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/236-Dewey-Cir-39531/home/116648008
"126 Rue Magnolia, Biloxi, MS 39530",498500,,4,,1990,Single-family,1972,1742,251,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/126-Rue-Magnolia-39530/home/116302028
"5529 Overland Dr, Biloxi, MS 39532",295000,,4,,1835,Single-family,2021,13503,161,2 car,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/5529-Overland-Dr-39532/home/177911051
"2004 Claudette Ct, Biloxi, MS 39531",724900,"4,841",4,,3703,Single-family,1992,13503,196,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2004-Claudette-Ct-39531/home/116640456
"2158 Baywood Dr, Biloxi, MS 39532",229999,,3,,1454,Single-family,1978,10018,158,2 spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2158-Baywood-Dr-39532/home/115988879
"1664 Beach Blvd #151, Biloxi, MS 39531",172500,"1,734",2,,985,Condo,1967,271814,175,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/1664-Beach-Blvd-39531/unit-151/home/116390521
"12778 Tiffany Ln, Biloxi, MS 39532",289900,,4,,1975,Single-family,1979,43560,147,2 spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/12778-Tiffany-Ln-39532/home/144300286
"2516 Orleans Rd, Biloxi, MS 39531",139000,,4,,1600,Single-family,1962,11761,87,1  spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2516-Orleans-Rd-39531/home/116582159
"3512 River Bluff Rd, D'Iberville, MS 39540",635000,,4,,2501,Single-family,1997,19602,254,2 car,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Diberville/3512-River-Bluff-Rd-39540/home/116096820
"15900 Groue St, Biloxi, MS 39532",385000,,2,,1262,Single-family,2010,57499,305,2 spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/15900-Groue-Ave-39532/home/119179178
"941 Motsie Rd, Biloxi, MS 39532",202990,,3,,1030,Single-family,2025,1306,197,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/941-Motsie-Rd-39532/home/196264687
"247 Forrest Ave, Biloxi, MS 39530",299000,,2,,1200,Single-family,1940,6098,249,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/247-Forrest-Ave-39530/home/116310418
"729 Canterbury Dr, Biloxi, MS 39532",249000,,3,,2407,Single-family,1971,11761,103,4 spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/729-Canterbury-Dr-39532/home/116639907
"1130 Beach Blvd #404, Biloxi, MS 39530",379900,,3,,1867,Condo,1981,,203,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/1130-Beach-Blvd-39530/unit-404/home/196371876
"14490 Indian Trails Cir, D'Iberville, MS 39540",180000,,3,,1147,Single-family,2006,5662,157,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Diberville/14490-Indian-Trails-Cir-39540/home/116182626
,251740,,3,,1380,Single-family,2025,10890,182,2  spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/9642-W-Oaklawn-Rd-39532/home/195616815
,294990,,3,,1893,Single-family,2025,4356,156,2 car,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/9684-W-Oaklawn-Rd-39532/home/194819996
"15429 Straw St, Biloxi, MS 39532",357500,,3,,2324,Single-family,2025,20908,154,2 spaces,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/15429-Straw-St-39532/home/166518991
"939 Motsie Rd, Biloxi, MS 39532",202990,,3,,1030,Single-family,2025,1306,197,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/939-Motsie-Rd-39532/home/196264696
