address,price,est_monthly_payment,bedrooms,bathrooms,square_footage,property_type,year_built,lot_size,price_per_sqft,parking,state,city,url
"2406 Bonne Terre Blvd, Biloxi, MS 39531",349000,,3,2,2095,Single-family,2006,14374,167,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2406-Bonne-Terre-Blvd-39531/home/116167362
"1282 Beach Blvd #118, Biloxi, MS 39530",169900,,1,,700,Condo,1965,,243,2,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/1282-Beach-Blvd-39530/unit-118/home/148717578
"251 Dewey Cir, Biloxi, MS 39531",230000,,2,2,1473,Single-family,1950,7840,156,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/251-Dewey-Cir-39531/home/116165043
"756 N 72nd St #102, Seattle, WA 98103",417000,"2,896",1,1,601,Condo,1982,,694,1,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/756-N-72nd-St-98103/unit-102/home/16807
"615 N Haven Dr, Biloxi, MS 39532",325000,,3,2,1858,Single-family,1980,13939,175,2,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/615-N-Haven-Dr-39532/home/116017804
"8317 Wolcott Ave S, Seattle, WA 98118",689950,,3,2,1603,Single-family,1951,6000,430,,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/8317-Wolcott-Ave-S-98118/home/174067
"143 Miramar Ave, Biloxi, MS 39530",525000,,3,3,1808,Single-family,2025,6534,290,4,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/143-Miramar-Ave-39530/home/191304840
"3202 SW Avalon Way #102, Seattle, WA 98126",429000,,2,2,824,Condo,1998,,521,1,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/3202-SW-Avalon-Way-98126/unit-102/home/2091041
"4257 Melvin Rd, D'Iberville, MS 39540",450000,,4,2,2596,Single-family,2001,130680,173,2,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Diberville/4257-Melvin-Rd-39540/home/166327287
"2319 1st Ave #205, Seattle, WA 98121",950000,,2,2,1577,Condo,2000,,602,1,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/2319-1st-Ave-98121/unit-205/home/9305
"15405 Needle St, Biloxi, MS 39532",300000,,4,2.5,1942,Single-family,2018,33541,154,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/15405-Needle-St-39532/home/166484293
"7142 47th Ave SW, Seattle, WA 98136",799999,,3,2.5,1540,Townhome,2025,1684,519,,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/7142-47th-Ave-SW-98136/home/154265
"245 Mcdonnell Ave #105, Biloxi, MS 39531",89900,,1,1,608,Condo,1970,205603,148,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/245-McDonnell-Ave-39531/unit-105/home/116181044
"1420 Terry Ave #205, Seattle, WA 98101",235000,,—,1,429,Condo,2002,,548,1,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/1420-Terry-Ave-98101/unit-205/home/11649
"7919 Village Green Dr, Biloxi, MS 39532",399900,,3,2,2239,Single-family,2020,11761,179,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/7919-Village-Green-Dr-39532/home/175196001
"4869 35th Ave S, Seattle, WA 98118",925000,,3,2,1580,Townhome,2022,1358,585,,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/4869-35th-Ave-S-98118/home/182029370
"14801 Rue Mornay Dr, Biloxi, MS 39532",332000,,4,2.5,2830,Single-family,1995,13068,117,2,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/14801-Rue-Mornay-39532/home/119173500
"1627 B 21st Ave, Seattle, WA 98122",1174900,,3,2,1767,Townhome,2025,1792,665,,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/1627-21st-Ave-98122/home/195502271
"2223 Popps Ferry Rd, Biloxi, MS 39532",225000,,3,2,1558,Single-family,1968,10890,144,2,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2223-Popps-Ferry-Rd-39532/home/116180001
"3526 Cheasty Blvd S, Seattle, WA 98144",835000,,3,2.5,1490,Single-family,2003,2280,560,1,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/3526-Cheasty-Blvd-S-98144/home/168355
"2146 Driftwood Dr, Biloxi, MS 39531",178000,,3,2,1406,Single-family,1960,12196,127,1,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2146-Driftwood-Dr-39531/home/115984779
"668 S Lane St #603, Seattle, WA 98104",280000,,—,1,525,Condo,2002,,533,,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/668-S-Lane-St-98104/unit-603/home/2117050
"168 Orchid St, Biloxi, MS 39531",169900,,3,1,792,Single-family,1950,6969,215,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/168-Orchid-St-39531/home/115996554
"1900 Westlake Ave N Unit B11, Seattle, WA 98109",390000,,2,1,518,"Single Family Residence, 24 - Floating Home/On-Water Res",1994,672,753,,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/1900-Westlake-Ave-N-98109/unit-B11/home/139381502
"13086 Riverwalk Cir, D'Iberville, MS 39540",595000,,4,3.5,3637,Single-family,2007,28749,164,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Diberville/13086-Riverwalk-Cir-39540/home/116012166
"4019 4th Ave NE, Seattle, WA 98105",2150000,,6,,3930,Multi-family,2023,4000,547,4,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/4019-4th-Ave-NE-98105/home/194384353
"546 Howard Ave #2, Biloxi, MS 39531",435000,,3,2.5,1812,Single-family,2025,5662,240,2,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/546-Howard-Ave-39530/unit-2/home/168770046
"3606 Francis Ave N, Seattle, WA 98103",1225000,,3,3,1869,Townhome,2025,1173,655,,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/3606-Francis-Ave-N-98103/home/197489419
"2033 11th Ave E, Seattle, WA 98102",1999999,,4,2,3107,Single-family,1914,4000,644,1,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/2033-11th-Ave-E-98102/home/137075
"1664 Beach Blvd Unit H116, Biloxi, MS 39531",149999,,1,1,618,Condo,1969,,243,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/1664-Beach-Blvd-39531/unit-H116/home/196915711
"1250 Alki Ave SW Unit 3C, Seattle, WA 98116",1299000,,1,2,1284,Condo,2022,,"1,012",1,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/1250-Alki-Ave-SW-98116/unit-3C/home/185895992
"12465 Old Cypress Creek Cv, D'Iberville, MS 39540",745000,,3,3,2756,Single-family,2021,22651,270,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Diberville/12465-Old-Cypress-Creek-Cv-39540/home/115983977
"4910 S Willow St Unit B, Seattle, WA 98118",599950,,4,3,1580,Townhome,2020,1120,380,,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/4910A-S-Willow-St-98118/unit-B/home/177721003
"7400 Southwind Dr, Biloxi, MS 39532",219000,,3,2,1700,Single-family,2005,8712,129,2,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/7400-Southwind-Dr-39532/home/119236739
"1100 S Atlantic St #304, Seattle, WA 98134",425000,,2,2,1071,Condo,1969,,397,1,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/1100-S-Atlantic-St-98134/unit-304/home/61216
"11827 River Estates Cir, Biloxi, MS 39532",469000,,4,2.5,2750,Single-family,2006,45302,171,10,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/11827-River-Estates-Cir-39532/home/144300310
"1628 27th Ave, Seattle, WA 98122",1249950,,5,3,2060,Single-family,1926,4800,607,,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/1628-27th-Ave-98122/home/146281
"167 Travia Ave, Biloxi, MS 39531",118000,,2,2,925,Single-family,1950,6098,128,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/167-Travia-Ave-39531/home/116654396
"2017 W Bertona St, Seattle, WA 98199",1099950,,3,2.5,1816,Townhome,2024,750,606,,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/2017-W-Bertona-St-98199/home/123340
,360815,,4,3,2219,Single-family,2025,4356,163,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/7974-Deerberry-Ct-39532/home/195493789
"2823 NW 73rd St, Seattle, WA 98117",958000,,3,2,1250,Single-family,1928,3300,766,1,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/2823-NW-73rd-St-98117/home/165820
"169 Dorries St, Biloxi, MS 39530",105000,,2,1,848,Single-family,1930,7405,124,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/169-Dorries-St-39530/home/115986489
"303 NW 56th St, Seattle, WA 98107",674900,,2,1.5,1020,Townhome,1994,2556,662,1,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/303-NW-56th-St-98107/home/493597
"7650 Lexington Dr, Biloxi, MS 39532",257700,,4,3,2337,Single-family,1970,8712,110,3,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/7650-Lexington-Dr-39532/home/119157282
"5248 23rd Ave SW, Seattle, WA 98106",1495000,,5,4.5,3260,Single-family,2025,3145,459,1,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/5248-23rd-Ave-SW-98106/home/195591504
"17309 Palm Ridge Dr, D'Iberville, MS 39540",245000,,3,2,1645,Single-family,2010,15245,149,2,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Diberville/17309-Palm-Ridge-Dr-39540/home/144304031
"7146 47th Ave SW, Seattle, WA 98136",825000,,3,2.5,1540,Townhome,2025,1684,536,,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/7146-47th-Ave-SW-98136/home/191428871
"13284 Hilliard St, D'Iberville, MS 39540",334900,,4,3,2327,Single-family,2016,7405,144,2,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Diberville/13284-Hilliard-St-39540/home/117179673
"14598 Westminster Way N #106, Shoreline, WA 98133",499990,,1,1,955,Condo,2023,,524,,Washington,"Seattle, WA",https://www.redfin.com/WA/Shoreline/14598-Westminster-Way-N-98133/unit-106/home/192272670
,388120,,4,2,2114,Single-family,2025,4356,184,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/13824-Winterberry-Dr-39532/home/196322377
"4222 Beach Dr SW #303, Seattle, WA 98116",395000,,2,2,885,Condo,1985,,446,,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/4222-Beach-Dr-SW-98116/unit-303/home/67588
"8445 30th Ave SW, Seattle, WA 98126",849950,,4,2,2930,Single-family,1943,7560,290,1,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/8445-30th-Ave-SW-98126/home/473635
"5001 California Ave SW #212, Seattle, WA 98136",399950,,1,1,742,Condo,2004,,539,1,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/5001-California-Ave-SW-98136/unit-212/home/21484
"4207 SW Thistle Unit A, Seattle, WA 98136",799000,,4,2,2020,Condo,1949,3197,396,,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/4207-SW-Thistle-St-98136/unit-A/home/172698220
"1658 Hollywood Blvd, Biloxi, MS 39531",170000,,2,1,995,Single-family,1952,7840,171,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/1658-Hollywood-Blvd-39531/home/116228357
"5252 23rd Ave SW, Seattle, WA 98106",1399950,,5,4.5,3002,Townhome,2025,4277,466,1,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/5252-23rd-Ave-SW-98106/home/194711858
"245 Mcdonnell Ave #221, Biloxi, MS 39531",79993,,2,1,775,Condo,1970,205603,103,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/245-McDonnell-Ave-39531/unit-221/home/116270991
"5506 7th Ave NW, Seattle, WA 98107",1250000,,6,,2770,Multi-family,1969,5000,451,5,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/5506-7th-Ave-NW-98107/home/493545
"4909 Green Lake Way N, Seattle, WA 98103",2550000,,8,8,3210,Single-family,1946,3661,794,,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/4909-Green-Lake-Way-N-98103/home/119943
"2004 Claudette Ct, Biloxi, MS 39531",724900,,4,3.5,3703,Single-family,1992,13503,196,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2004-Claudette-Ct-39531/home/116640456
"8803 15th Ave NE, Seattle, WA 98115",974000,,7,4,3000,Single-family,1994,6802,325,2,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/8803-15th-Ave-NE-98115/home/108993
"2668 Beach Blvd #405, Biloxi, MS 39531",450000,,2,2,1392,Condo,2007,111949,323,2,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2668-Beach-Blvd-39531/unit-405/home/116407180
"12569 37th Ave NE, Seattle, WA 98125",1194000,,4,3,2500,Single-family,1968,7242,478,,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/12569-37th-Ave-NE-98125/home/111607
"6236 Emerald Lake Dr, Biloxi, MS 39532",385000,,4,2,2557,Single-family,2018,14374,151,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/6236-Emerald-Lake-Dr-39532/home/171240034
"66 Bell St #208, Seattle, WA 98121",498000,,1,1,783,Condo,1908,,636,1,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/66-Bell-St-98121/unit-208/home/176004504
,374490,,5,3,2513,Single-family,2025,4356,149,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/13625-Mayberry-Ct-39532/home/196322347
"854 A S Donovan St, Seattle, WA 98108",479950,,2,2.5,840,Condo,2025,,571,,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/854-A-S-Donovan-St-98108/home/196836825
"5367 Overland Dr, Biloxi, MS 39532",311900,,4,2.5,2449,Single-family,2018,8712,127,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/5367-Overland-Dr-39532/home/117175103
"4321 SW Beveridge Pl, Seattle, WA 98136",1150000,,4,2,2100,Single-family,1914,7200,548,2,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/4321-SW-Beveridge-Pl-98136/home/152955
"2668 Beach Blvd., Unit 802 Blvd, Biloxi, MS 39531",389900,,2,2,—,Condo,2007,,,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2668-Beach-Blvd-39531/home/115942510
"10749 Glen Acres Dr S S #10749, Seattle, WA 98168",520000,,4,2.5,2282,Townhome,1974,,228,2,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/10749-Glen-Acres-Dr-S-98168/home/11905174
"2502 Randall Dr, Biloxi, MS 39531",275000,,3,2,1905,Single-family,1959,13068,144,1,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2502-Randall-Dr-39531/home/116653715
"8725 10th Ave S, Seattle, WA 98108",599000,,2,2,1090,Single-family,1952,4167,550,,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/8725-10th-Ave-S-98108/home/2062847
"6288 Emerald Lake Dr, Biloxi, MS 39532",329300,,3,2,1540,Single-family,2025,14810,214,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/6288-Emerald-Lake-Dr-39532/home/189648856
"8535 16th Ave NW, Seattle, WA 98117",799000,,2,2,1289,Single-family,1948,4000,620,1,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/8535-16th-Ave-NW-98117/home/100454
"133 Myrtle St, Biloxi, MS 39530",749999,,5,5,3326,Single-family,2007,7840,225,2,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/133-Myrtle-St-39530/home/116096135
"720 Lakeside Ave S #404, Seattle, WA 98144",399000,,1,1,518,Condo,1957,,770,1,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/720-Lakeside-Ave-S-98144/unit-404/home/41727
"765 Destiny Plantation Boulevard Blvd, Biloxi, MS 39532",1699999,,3,3.5,4159,Single-family,2012,37026,409,3,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/765-Destiny-Plantation-Blvd-39532/home/144304132
"126 Rue Magnolia, Biloxi, MS 39530",498500,,4,2,1990,Single-family,1972,1742,251,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/126-Rue-Magnolia-39530/home/116302028
"1456 Beach Blvd, Biloxi, MS 39530",1350000,,3,3.5,3193,Single-family,2008,14374,423,2,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/1456-Beach-Blvd-39530/home/116301348
"3650 26th Pl W Unit 202A, Seattle, WA 98199",799000,,2,2,1800,Condo,1973,,444,2,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/3650-26th-Pl-W-98199/unit-202A/home/103961214
"15917 Van Eaton Cir, Biloxi, MS 39532",106000,,2,1,1078,Single-family,1950,15681,98,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/15917-Van-Eaton-Cir-39532/home/119179143
"737 Olive Way #2905, Seattle, WA 98101",1095000,,2,2,1350,Condo,2009,,811,1,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/737-Olive-Way-98101/unit-2905/home/21883004
"245 Mc Donnell Ave #166, Biloxi, MS 39531",135000,,3,1.5,1002,Condo,1970,,135,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/245-McDonnell-Ave-39531/unit-166/home/116093801
"4525 55th Ave NE, Seattle, WA 98105",2995000,,4,3.5,3280,Single-family,2001,3942,913,2,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/4525-55th-Ave-NE-98105/home/122703
"9215 30th Ave SW, Seattle, WA 98126",969000,,4,3,2280,Single-family,1951,6450,425,1,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/9215-30th-Ave-SW-98126/home/471890
"1664 Beach Blvd Unit K167, Biloxi, MS 39531",139900,,1,1,618,Condo,1967,,226,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/1664-Beach-Blvd-39531/unit-K167/home/196561281
"7729 30th Ave SW, Seattle, WA 98126",948000,,3,2,1730,Single-family,1910,5650,548,2,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/7729-30th-Ave-SW-98126/home/472369
"1664 Beach Blvd #151, Biloxi, MS 39531",172500,,2,1.5,985,Condo,1967,271814,175,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/1664-Beach-Blvd-39531/unit-151/home/116390521
"7215 W Green Lake Dr N, Seattle, WA 98103",1395000,,4,3,2540,Single-family,1926,4320,549,1,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/7215-W-Green-Lake-Dr-N-98103/home/306848
"9700 W Oaklawn Rd, Biloxi, MS 39532",296990,,3,3,1893,Single-family,2025,10890,157,2,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/9700-W-Oaklawn-Rd-39532/home/194941816
"7161 Beach Dr SW, Seattle, WA 98136",3950000,,4,4.5,3345,Single-family,1997,20908,"1,181",4,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/7161-Beach-Dr-SW-98136/home/157443
"2024 Greater Ave, Biloxi, MS 39531",140000,,2,1,893,Single-family,1950,7405,157,2,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2024-Greater-Ave-39531/home/116451602
"10735 Whitman Ave N, Seattle, WA 98133",850000,,4,2,2440,Single-family,1925,7440,348,1,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/10735-Whitman-Ave-N-98133/home/98828
"2026 Bent Oaks Blvd, Biloxi, MS 39531",575000,,5,3.5,3100,Single-family,1996,16117,185,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2026-Bent-Oaks-Blvd-39531/home/115987114
"1748 S Hanford St, Seattle, WA 98144",2000000,,8,,6538,Multi-family,1928,13068,306,5,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/1748-S-Hanford-St-98144/home/197370316
"487 Oaklawn Pl, Biloxi, MS 39530",349900,,3,2,2792,Single-family,1952,10890,125,4,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/487-Oaklawn-Pl-39530/home/116173481
"4338 NE 58th St, Seattle, WA 98105",3198000,,6,5.5,4604,Single-family,2025,7140,695,2,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/4338-NE-58th-St-98105/home/314219
"277 Nichols Dr, Biloxi, MS 39530",64900,,2,2,800,Single-family,1940,11325,81,6,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/277-Nichols-Dr-39530/home/116535764
"4852 40th Ave SW Unit B, Seattle, WA 98116",855000,,3,2,1740,Townhome,2014,1256,491,1,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/4852-40th-Ave-SW-98116/unit-B/home/59703642
"6205 Diamond Ln, Biloxi, MS 39532",352650,,4,2,2320,Single-family,2025,10890,152,2,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/6205-Diamond-Ln-39532/home/189648821
"5610 SW Teig Pl, Seattle, WA 98116",900000,,2,1,2250,Single-family,1926,3995,400,,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/5610-SW-Teig-Pl-98116/home/150270
"236 Rue Petit Bois, Biloxi, MS 39531",319000,,4,3,2800,Single-family,1984,15245,114,4,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/236-Rue-Petit-Bois-39531/home/116285784
"3527 E Spruce St, Seattle, WA 98122",1229000,,3,3,2050,Single-family,1980,9150,600,,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/3527-E-Spruce-St-98122/home/141493
"333 Belvedere Dr, Biloxi, MS 39531",155000,,3,1,1040,Single-family,1952,8712,149,1,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/333-Belvedere-Dr-39531/home/115964379
"2341 30th Ave S, Seattle, WA 98144",1699500,,3,4,2950,Single-family,2009,4500,576,6,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/2341-30th-Ave-S-98144/home/170880
"121 Grande View Dr, Biloxi, MS 39531",525000,,3,3,2179,Single-family,2023,5227,241,2,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/121-Grande-View-Dr-39531/home/189648769
"136 N 77th St, Seattle, WA 98103",1150000,,4,1,2970,Single-family,1909,6180,387,2,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/136-N-77th-St-98103/home/495432
"583 Battery St Unit 2504N, Seattle, WA 98121",690000,,1,1,792,Condo,2015,,871,1,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/583-Battery-St-98121/unit-2504N/home/109969460
"2046 Beach Blvd Unit C114, Biloxi, MS 39531",245000,,2,2,1152,Condo,1982,203860,213,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2046-Beach-Blvd-39531/unit-C114/home/176881366
"1610 Belmont Ave #306, Seattle, WA 98122",365000,,1,1,630,Condo,2001,,579,1,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/1610-Belmont-Ave-98122/unit-306/home/12092999
"723 Beach Blvd #723, Long Beach, MS 39560",324900,,2,2.5,1352,Condo,2007,69260,240,,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Long-Beach/723-W-Beach-Blvd-39560/unit-723/home/116065601
"4715 NE 54th St, Seattle, WA 98105",1420000,,4,2,2260,Single-family,1947,7052,628,1,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/4715-NE-54th-St-98105/home/120712
"2158 Baywood Dr, Biloxi, MS 39532",229999,,3,2,1454,Single-family,1978,10018,158,2,Mississippi,"Biloxi, MS",https://www.redfin.com/MS/Biloxi/2158-Baywood-Dr-39532/home/115988879
"4839 S Holly St, Seattle, WA 98118",850200,,4,2,2020,Single-family,1954,5725,421,,Washington,"Seattle, WA",https://www.redfin.com/WA/Seattle/4839-S-Holly-St-98118/home/490935
